id,gsn,shardId,latency (ns),dataGenTime (ns),totalBytes,totalTime (ns)
286,30287,0,19486694,601,1000000,81296251770
287,30288,0,20229478,685,1000000,81296251770
288,30289,0,20234579,721,1000000,81296251770
289,30290,0,19679459,608,1000000,81296251770
290,30291,0,19907332,701,1000000,81296251770
291,30292,0,19995267,589,1000000,81296251770
292,30293,0,20079568,578,1000000,81296251770
293,30294,0,19951795,517,1000000,81296251770
294,30295,0,19778827,581,1000000,81296251770
295,30296,0,20481094,598,1000000,81296251770
296,30297,0,19864207,595,1000000,81296251770
297,30298,0,20064227,618,1000000,81296251770
298,30299,0,20042813,609,1000000,81296251770
299,30300,0,20035092,595,1000000,81296251770
300,30301,0,19495658,515,1000000,81296251770
301,30302,0,20417166,599,1000000,81296251770
302,30303,0,19833945,518,1000000,81296251770
303,30304,0,19837452,598,1000000,81296251770
304,30305,0,20035660,504,1000000,81296251770
305,30306,0,20137193,619,1000000,81296251770
306,30307,0,19902360,508,1000000,81296251770
307,30308,0,20226292,585,1000000,81296251770
308,30309,0,19978928,592,1000000,81296251770
309,30310,0,19401822,578,1000000,81296251770
310,30311,0,20461387,481,1000000,81296251770
311,30312,0,20371362,495,1000000,81296251770
312,30313,0,19236954,498,1000000,81296251770
313,30314,0,20469573,601,1000000,81296251770
314,30315,0,19833376,585,1000000,81296251770
315,30316,0,20195561,574,1000000,81296251770
316,30317,0,19798365,525,1000000,81296251770
317,30318,0,20206199,478,1000000,81296251770
318,30319,0,20136348,755,1000000,81296251770
319,30320,0,19951060,488,1000000,81296251770
320,30321,0,19647418,568,1000000,81296251770
321,30322,0,20191790,608,1000000,81296251770
322,30323,0,19853927,491,1000000,81296251770
323,30324,0,20515432,614,1000000,81296251770
324,30325,0,19362822,578,1000000,81296251770
325,30326,0,20324336,598,1000000,81296251770
326,30327,0,20148281,585,1000000,81296251770
327,30328,0,19482424,615,1000000,81296251770
328,30329,0,20213566,598,1000000,81296251770
329,30330,0,19739240,471,1000000,81296251770
330,30331,0,20437733,578,1000000,81296251770
331,30332,0,20276898,491,1000000,81296251770
332,30333,0,19367535,488,1000000,81296251770
333,30334,0,20210843,528,1000000,81296251770
334,30335,0,19951273,494,1000000,81296251770
335,30336,0,19844157,598,1000000,81296251770
336,30337,0,20249682,584,1000000,81296251770
337,30338,0,20117644,599,1000000,81296251770
338,30339,0,19994215,498,1000000,81296251770
339,30340,0,19853596,565,1000000,81296251770
340,30341,0,19809521,591,1000000,81296251770
341,30342,0,20083473,475,1000000,81296251770
342,30343,0,20084787,605,1000000,81296251770
343,30344,0,19881203,588,1000000,81296251770
344,30345,0,20311772,605,1000000,81296251770
345,30346,0,19482619,598,1000000,81296251770
346,30347,0,20342365,688,1000000,81296251770
347,30348,0,20160771,498,1000000,81296251770
348,30349,0,20307909,584,1000000,81296251770
349,30350,0,19577143,608,1000000,81296251770
350,30351,0,20002331,494,1000000,81296251770
351,30352,0,20196103,608,1000000,81296251770
352,30353,0,19557676,508,1000000,81296251770
353,30354,0,20144089,585,1000000,81296251770
354,30355,0,20213968,515,1000000,81296251770
355,30356,0,19528472,504,1000000,81296251770
356,30357,0,20174830,498,1000000,81296251770
357,30358,0,19880409,511,1000000,81296251770
358,30359,0,20121852,511,1000000,81296251770
359,30360,0,20063038,582,1000000,81296251770
360,30361,0,20034755,501,1000000,81296251770
361,30362,0,20641755,588,1000000,81296251770
362,30363,0,19321799,598,1000000,81296251770
363,30364,0,20083025,641,1000000,81296251770
364,30365,0,19988273,722,1000000,81296251770
365,30366,0,19924964,752,1000000,81296251770
366,30367,0,20192691,732,1000000,81296251770
367,30368,0,20239281,775,1000000,81296251770
368,30369,0,19780197,502,1000000,81296251770
369,30370,0,20140500,729,1000000,81296251770
370,30371,0,19856048,599,1000000,81296251770
371,30372,0,19765674,752,1000000,81296251770
372,30373,0,19915909,786,1000000,81296251770
373,30374,0,20511022,759,1000000,81296251770
374,30375,0,19540206,608,1000000,81296251770
375,30376,0,20259134,612,1000000,81296251770
376,30377,0,19747284,725,1000000,81296251770
377,30378,0,19998932,611,1000000,81296251770
378,30379,0,19838375,592,1000000,81296251770
379,30380,0,20198768,615,1000000,81296251770
380,30381,0,19876403,615,1000000,81296251770
381,30382,0,20098021,615,1000000,81296251770
382,30383,0,20393714,598,1000000,81296251770
383,30384,0,19436680,598,1000000,81296251770
384,30385,0,20115907,615,1000000,81296251770
385,30386,0,20567446,758,1000000,81296251770
386,30387,0,19688072,495,1000000,81296251770
387,30388,0,20055089,614,1000000,81296251770
388,30389,0,19963160,612,1000000,81296251770
389,30390,0,20071079,749,1000000,81296251770
390,30391,0,19388010,588,1000000,81296251770
391,30392,0,20646065,742,1000000,81296251770
392,30393,0,19666328,605,1000000,81296251770
393,30394,0,20257001,598,1000000,81296251770
394,30395,0,19336272,738,1000000,81296251770
395,30396,0,19666789,601,1000000,81296251770
396,30397,0,10644594,799,1000000,81296251770
397,30398,0,20202931,501,1000000,81296251770
398,30399,0,19978490,602,1000000,81296251770
399,30400,0,19639170,592,1000000,81296251770
400,30401,0,19506791,612,1000000,81296251770
401,30402,0,10613552,795,1000000,81296251770
402,30403,0,20510661,615,1000000,81296251770
403,30404,0,19310885,785,1000000,81296251770
404,30405,0,20601327,611,1000000,81296251770
405,30406,0,19561714,505,1000000,81296251770
406,30407,0,20374283,585,1000000,81296251770
407,30408,0,19862570,622,1000000,81296251770
408,30409,0,20040099,581,1000000,81296251770
409,30410,0,20117236,598,1000000,81296251770
410,30411,0,19666057,615,1000000,81296251770
411,30412,0,20325793,622,1000000,81296251770
412,30413,0,20258288,604,1000000,81296251770
413,30414,0,19442227,598,1000000,81296251770
414,30415,0,20309281,591,1000000,81296251770
415,30416,0,19856539,738,1000000,81296251770
416,30417,0,19897901,594,1000000,81296251770
417,30418,0,20187209,618,1000000,81296251770
418,30419,0,19732310,718,1000000,81296251770
419,30420,0,20243109,592,1000000,81296251770
420,30421,0,19657847,785,1000000,81296251770
421,30422,0,20417875,645,1000000,81296251770
422,30423,0,19751465,705,1000000,81296251770
423,30424,0,20159103,775,1000000,81296251770
424,30425,0,20284588,672,1000000,81296251770
425,30426,0,19758420,709,1000000,81296251770
426,30427,0,19576184,631,1000000,81296251770
427,30428,0,20259497,752,1000000,81296251770
428,30429,0,19830559,595,1000000,81296251770
429,30430,0,19968403,692,1000000,81296251770
430,30431,0,20062133,664,1000000,81296251770
431,30432,0,20254617,635,1000000,81296251770
432,30433,0,19998878,621,1000000,81296251770
433,30434,0,20099099,792,1000000,81296251770
434,30435,0,19553415,632,1000000,81296251770
435,30436,0,19969426,729,1000000,81296251770
436,30437,0,20287920,645,1000000,81296251770
437,30438,0,20247314,732,1000000,81296251770
438,30439,0,19216628,649,1000000,81296251770
439,30440,0,20364369,598,1000000,81296251770
440,30441,0,20659144,746,1000000,81296251770
441,30442,0,19318388,628,1000000,81296251770
442,30443,0,19956523,729,1000000,81296251770
443,30444,0,20121154,635,1000000,81296251770
444,30445,0,20068026,765,1000000,81296251770
445,30446,0,19732885,638,1000000,81296251770
446,30447,0,20548676,655,1000000,81296251770
447,30448,0,19291197,645,1000000,81296251770
448,30449,0,20614444,789,1000000,81296251770
449,30450,0,20163933,648,1000000,81296251770
450,30451,0,19760772,775,1000000,81296251770
451,30452,0,19647220,668,1000000,81296251770
452,30453,0,20129086,751,1000000,81296251770
453,30454,0,20176225,585,1000000,81296251770
454,30455,0,20282159,778,1000000,81296251770
455,30456,0,19537413,631,1000000,81296251770
456,30457,0,20060368,512,1000000,81296251770
457,30458,0,20273907,582,1000000,81296251770
458,30459,0,19480251,595,1000000,81296251770
459,30460,0,20123553,642,1000000,81296251770
460,30461,0,19401295,605,1000000,81296251770
461,30462,0,10751036,585,1000000,81296251770
462,30463,0,20351635,618,1000000,81296251770
463,30464,0,19613063,652,1000000,81296251770
464,30465,0,19296945,508,1000000,81296251770
